row,cluster
RHOBTB3,cluster3
STAT5B,cluster3
IL5RA,cluster3
CPA3,cluster3
MYCT1,cluster3
FRY,cluster3
INADL,cluster3
WEE1,cluster3
ENTPD1,cluster3
TMEM154,cluster3
STX3,cluster3
STXBP5,cluster3
IL1RL1,cluster3
MCTP2,cluster3
LBR,cluster3
LPCAT2,cluster3
FRMD4B,cluster3
SUSD1,cluster3
CERK,cluster3
PPARA,cluster3
GNG2,cluster3
CERS4,cluster3
RUFY4,cluster3
BEGAIN,cluster3
PLCD3,cluster3
C1orf186,cluster3
SH3KBP1,cluster3
PSTPIP1,cluster3
NDUFAF6,cluster3
ACOX2,cluster3
ADGRG6,cluster3
FAM60A,cluster3
RNF144A,cluster3
RGS18,cluster3
FAM63A,cluster3
IL34,cluster3
SPATA9,cluster3
SRPK2,cluster3
IL17RB,cluster3
CHPT1,cluster3
CYTIP,cluster3
EMB,cluster3
PLXNC1,cluster3
CD200R1,cluster3
TMEM71,cluster3
IKZF1,cluster3
VCL,cluster3
CDC42SE2,cluster3
LPGAT1,cluster3
ST8SIA4,cluster3
GPR27,cluster3
STK38L,cluster3
ANKS1B,cluster3
ADGRG3,cluster3
PRR5L,cluster3
S1PR1,cluster3
SFXN1,cluster3
GSDMB,cluster3
ATP8B2,cluster3
MREG,cluster3
F5,cluster3
RNASE2,cluster3
GALNT3,cluster3
VAMP1,cluster3
CAMK4,cluster3
SLC39A8,cluster3
SLC35F2,cluster3
QPCT,cluster3
ASGR2,cluster3
TSPAN18,cluster3
PARM1,cluster3
TFEB,cluster3
CD96,cluster3
LRG1,cluster3
SLC35E1,cluster3
ZDHHC18,cluster3
CSF1,cluster3
RGL2,cluster3
PRDM5,cluster3
ZEB1,cluster3
AGPAT9,cluster3
IL3RA,cluster3
SNAI3,cluster3
COL23A1,cluster3
ARHGAP25,cluster3
TOX,cluster3
ARHGAP15,cluster3
RAB27A,cluster3
SLC40A1,cluster3
EGR3,cluster3
DBN1,cluster3
RGL1,cluster3
ENPP2,cluster3
GFRA2,cluster3
SMCHD1,cluster3
BLOC1S6,cluster3
FHL3,cluster3
RGS14,cluster3
CAMK1,cluster3
GLCCI1,cluster3
PTPRE,cluster3
FAM19A2,cluster3
IL16,cluster3
IGFBP6,cluster3
EEPD1,cluster3
COL4A1,cluster3
MARCH3,cluster3
CCDC186,cluster3
ZNF143,cluster3
LIMS1,cluster3
INPP5A,cluster3
CD226,cluster3
SP4,cluster3
OSBPL8,cluster3
ATP8B4,cluster3
SEMA4A,cluster3
PXN,cluster3
PGS1,cluster3
CCND1,cluster3
PRKCB,cluster3
AMPD3,cluster3
F13A1,cluster3
STK26,cluster3
IL1R2,cluster3
RCSD1,cluster3
ST6GAL1,cluster3
RASGRP3,cluster3
INPP5D,cluster3
ANKRD33B,cluster3
PTGS1,cluster3
C19orf35,cluster3
CBFA2T3,cluster3
ANTXR2,cluster3
HIF1A,cluster3
GPR183,cluster3
ECE1,cluster3
TPCN1,cluster3
ZFP36L2,cluster3
SEMA4D,cluster3
MAX,cluster3
FGL2,cluster3
PSTPIP2,cluster3
CNN2,cluster3
SULF2,cluster3
IL18R1,cluster3
PPP1R3B,cluster3
SUCNR1,cluster3
AJAP1,cluster3
MDS2,cluster3
FAM159A,cluster3
CDKN2D,cluster3
SUSD3,cluster3
MKL1,cluster3
HIST1H1C,cluster3
HRASLS5,cluster3
FANCF,cluster3
MS4A3,cluster3
HDC,cluster3
ZBTB18,cluster3
OBFC1,cluster3
FAM124B,cluster3
C11orf21,cluster3
CDC42SE1,cluster3
MS4A2,cluster3
SGK1,cluster3
CCL2,cluster3
S100Z,cluster3
TPSAB1,cluster3
TMEM216,cluster3
CDK6,cluster3
PKIB,cluster3
CYP4F3,cluster3
BIRC3,cluster3
RAB33A,cluster3
CLEC10A,cluster3
ABCA6,cluster3
TESPA1,cluster3
RHOH,cluster3
IFITM1,cluster3
GAS6,cluster3
ABTB1,cluster3
TSGA10IP,cluster3
CLEC4G,cluster3
SIGLEC10,cluster3
MSRB3,cluster3
ASB2,cluster3
CCDC69,cluster3
RBM38,cluster3
ARHGAP9,cluster3
EHD1,cluster3
IER2,cluster3
AKNA,cluster3
LTB,cluster3
TCF4,cluster3
ZNRF1,cluster3
IL2RA,cluster3
SEPT1,cluster3
ETS1,cluster3
NLRC5,cluster3
CHD3,cluster3
DGKA,cluster3
HMHA1,cluster3
CIB2,cluster3
NT5DC2,cluster3
NDRG2,cluster3
GPR132,cluster3
SMAGP,cluster3
ETV5,cluster3
TRABD,cluster3
EFR3B,cluster3
LYL1,cluster3
IKZF4,cluster3
COL18A1,cluster3
CTNS,cluster3
CCDC88B,cluster3
FURIN,cluster3
DEF6,cluster3
TSEN54,cluster3
PBXIP1,cluster3
HCLS1,cluster3
ERN1,cluster3
TCF7,cluster3
HRH2,cluster3
STMN3,cluster3
FCMR,cluster3
C19orf38,cluster3
CTDSP1,cluster3
GPR35,cluster3
NINJ1,cluster3
OCIAD2,cluster3
ARAP3,cluster3
ARID3A,cluster3
PPP1R14A,cluster3
AGMAT,cluster3
SLC9A3R1,cluster3
HDAC1,cluster3
PANX2,cluster3
SEMA3B,cluster3
HLX,cluster3
FCER1A,cluster3
PADI2,cluster3
NCK2,cluster3
ANKRD55,cluster3
COL9A3,cluster3
PTRF,cluster3
CKAP4,cluster3
CHST13,cluster3
SLC2A1,cluster3
ACPP,cluster3
ITGAM,cluster3
ZNF507,cluster3
TMEM156,cluster3
MED10,cluster3
CLEC17A,cluster3
SETBP1,cluster3
SCRN1,cluster3
SGPP2,cluster3
MED14,cluster3
CCDC136,cluster3
MYH3,cluster3
TYK2,cluster3
CCL26,cluster3
PLCL2,cluster3
XPNPEP2,cluster3
THBS4,cluster3
MFAP4,cluster3
PRSS27,cluster3
CA4,cluster3
SLC7A1,cluster3
CHD7,cluster3
ARHGEF6,cluster3
SORL1,cluster3
C14orf37,cluster3
RUNX2,cluster3
PDE7A,cluster3
LCP2,cluster3
HELB,cluster3
CACNG6,cluster3
GPR34,cluster3
NHSL2,cluster3
NDFIP2,cluster3
RASSF2,cluster3
RNF24,cluster3
RAB3D,cluster3
MBOAT2,cluster3
SMIM1,cluster3
BNC2,cluster3
ZNF652,cluster3
SLAMF6,cluster3
TSPAN16,cluster3
RAP1GAP2,cluster3
BRI3BP,cluster3
ACKR2,cluster3
TES,cluster3
TACC1,cluster3
IKZF3,cluster3
ZNF641,cluster3
VENTX,cluster3
COA1,cluster3
CRH,cluster3
DEPDC5,cluster3
PGM2,cluster3
SPTBN1,cluster3
CRLF3,cluster3
TRIM36,cluster3
TPST1,cluster3
GCSAML,cluster3
ITPRIP,cluster3
GALNT10,cluster3
ATP6V0A2,cluster3
SRPK1,cluster3
THOC5,cluster3
TNFAIP8L1,cluster3
ETAA1,cluster3
UNKL,cluster2
NOV,cluster2
CHST11,cluster2
CSK,cluster2
