row,cluster
HOXC4,cluster2
TMPRSS11E,cluster2
MTMR11,cluster2
FAHD2B,cluster2
RAPSN,cluster2
PDZD7,cluster2
MT2A,cluster2
SPN,cluster2
RCCD1,cluster2
CD37,cluster2
HTT,cluster2
JAKMIP2,cluster2
TSKS,cluster2
SOX12,cluster2
PIP5KL1,cluster2
DEFB1,cluster2
GPA33,cluster2
JUN,cluster2
HFE,cluster2
LPL,cluster2
IFNLR1,cluster2
FBXO10,cluster2
MAN2C1,cluster2
ARAP1,cluster2
POLRMT,cluster2
PNPLA7,cluster2
ATP13A1,cluster2
ADPGK,cluster2
ANGEL1,cluster2
ARPIN,cluster2
ZDHHC9,cluster2
TRIM6,cluster2
RCN1,cluster2
PARP9,cluster2
ANOS1,cluster2
STPG1,cluster2
KMO,cluster2
SLC25A25,cluster2
PARP15,cluster2
GALNT11,cluster2
FBXO41,cluster2
YPEL2,cluster2
SPIDR,cluster2
TBC1D30,cluster2
SH2D4B,cluster2
AXL,cluster2
NKIRAS1,cluster2
SUMF1,cluster2
UBASH3B,cluster2
VWA8,cluster2
MSR1,cluster2
MACC1,cluster2
TMEM220,cluster2
RRAGB,cluster2
B3GNT7,cluster2
TFRC,cluster2
GPRIN3,cluster2
CLIP4,cluster2
PCNX,cluster2
PTPRM,cluster2
AMOTL1,cluster2
PDE8A,cluster2
AZI2,cluster2
CD109,cluster2
TBC1D9,cluster2
HCAR3,cluster2
DZIP1L,cluster2
CXCL5,cluster2
RND3,cluster2
C5AR1,cluster2
KCNA3,cluster2
LONRF3,cluster2
H6PD,cluster2
MAN2B2,cluster2
MTHFD1,cluster2
ADPRH,cluster2
PAM,cluster2
CECR1,cluster2
STAT5A,cluster2
FKBP15,cluster2
VWA5A,cluster2
ENPP4,cluster2
TRIM22,cluster2
GPCPD1,cluster2
PTPRO,cluster2
TLR8,cluster2
TRHDE,cluster2
STX12,cluster2
CCDC171,cluster2
SESTD1,cluster2
FAXDC2,cluster2
CLMN,cluster2
OSBPL10,cluster2
SLC26A1,cluster2
NSUN7,cluster2
NEK11,cluster2
GLDN,cluster2
BCAR3,cluster2
TRIO,cluster2
FAT3,cluster2
NEK8,cluster2
EXOC3L4,cluster2
TUBG2,cluster2
SIK2,cluster2
TRPV4,cluster2
PLXNA2,cluster2
EPB41L1,cluster2
TMEM104,cluster2
PCED1A,cluster2
MIF4GD,cluster2
GPR161,cluster2
PLA2G6,cluster2
RARA,cluster2
MID1IP1,cluster2
STON1-GTF2A1L,cluster2
ARRB1,cluster2
MCM5,cluster2
FRS3,cluster2
PELI3,cluster2
KLHL18,cluster2
IQSEC1,cluster2
PER2,cluster2
TJP2,cluster2
COLEC12,cluster2
SLC9A1,cluster2
BBS2,cluster2
CABLES1,cluster2
DGKQ,cluster2
CPED1,cluster2
IRS2,cluster2
RASSF8,cluster2
AKAP5,cluster2
SVIL,cluster2
HIPK2,cluster2
DCAF4,cluster2
DNAAF5,cluster2
PKIA,cluster2
CASP10,cluster2
PDE4DIP,cluster2
NOL4L,cluster2
HLCS,cluster2
LRRCC1,cluster2
AKAP7,cluster2
IRAK3,cluster2
SORT1,cluster2
ZCCHC24,cluster2
MOB3B,cluster2
MAML2,cluster2
KIAA0226L,cluster2
WFIKKN2,cluster2
LZTFL1,cluster2
TTC39B,cluster2
ACOX1,cluster2
ITGB8,cluster2
ITFG2,cluster2
A4GALT,cluster2
MT1M,cluster2
MEFV,cluster2
CYP3A5,cluster2
GATB,cluster2
KCNA2,cluster2
RRAGA,cluster1
DYRK1B,cluster1
MICU1,cluster1
MYD88,cluster1
SPG21,cluster1
ZNF76,cluster1
DDX58,cluster1
BATF2,cluster1
UBE2L6,cluster1
TMEM129,cluster1
SLC15A3,cluster1
TMEM150B,cluster1
POMGNT2,cluster1
LRPAP1,cluster1
MT-ND5,cluster1
C1QA,cluster1
PLIN2,cluster1
FCGRT,cluster1
SYNGR2,cluster1
SERPINA1,cluster1
GRN,cluster1
FBXL2,cluster1
SLC4A11,cluster1
CCDC36,cluster1
ZDHHC8,cluster1
AGPAT3,cluster1
PPP1R15A,cluster1
PLOD3,cluster1
DLX4,cluster1
STS,cluster1
LRRC41,cluster1
QTRT1,cluster1
ADPRHL2,cluster1
TUBB6,cluster1
RPP25,cluster1
FCGR1A,cluster1
PPM1N,cluster1
PLA2G16,cluster1
GTPBP2,cluster1
WDR13,cluster1
NIT2,cluster1
NUPR1,cluster1
ERGIC3,cluster1
NANS,cluster1
DNAJC5B,cluster1
NFU1,cluster1
CCDC24,cluster1
SFXN2,cluster1
FCGR1B,cluster1
ODF3B,cluster1
STK25,cluster1
IFI30,cluster1
TCEAL8,cluster1
HMGN3,cluster1
MPC1,cluster1
SNX21,cluster1
ARHGAP6,cluster1
OAS1,cluster1
SLC2A9,cluster1
IL15,cluster1
GINM1,cluster1
SAV1,cluster1
IFIT1,cluster1
RBP7,cluster1
STON1,cluster1
RSPO3,cluster1
NPEPL1,cluster1
PNO1,cluster1
POLD3,cluster1
OASL,cluster1
ZNF589,cluster1
CES1,cluster1
HEBP1,cluster1
SLC25A1,cluster1
TMEM53,cluster1
ABHD14B,cluster1
CTSF,cluster1
GDE1,cluster1
SCIMP,cluster1
APOL4,cluster1
GMPR,cluster1
SBDS,cluster1
PDCD1LG2,cluster1
ST7,cluster1
XAF1,cluster1
TRIM69,cluster1
RAB20,cluster1
MX1,cluster1
IFI44L,cluster1
SEPT3,cluster1
IFI6,cluster1
ISCU,cluster1
GSTK1,cluster1
ATP1B3,cluster1
MTPN,cluster1
RAB31,cluster1
APIP,cluster1
LPAR3,cluster1
TMEM230,cluster1
CASP4,cluster1
RSL1D1,cluster1
IFITM3,cluster1
P2RX7,cluster1
MITF,cluster1
SPIRE1,cluster1
IRF8,cluster1
LAMB1,cluster1
F12,cluster1
PIPOX,cluster1
APEX2,cluster1
JPH4,cluster1
GNA12,cluster1
TOM1,cluster1
C1orf216,cluster1
ENTPD6,cluster1
HECTD3,cluster1
PML,cluster1
COQ2,cluster1
MAN2B1,cluster1
PARP12,cluster1
PICK1,cluster1
CDK9,cluster1
SRC,cluster1
OPN3,cluster1
SH3BP5,cluster1
SAMD4A,cluster1
TRIM3,cluster1
DRAM1,cluster1
RAB7B,cluster1
TMEM254,cluster1
PCCA,cluster1
SNX9,cluster1
PVR,cluster1
POLR3H,cluster1
SH3TC1,cluster1
ABHD15,cluster1
LZTS2,cluster1
TMEM175,cluster1
STIM1,cluster1
CARKD,cluster1
USP11,cluster1
RYR1,cluster1
APMAP,cluster1
PARP3,cluster1
CYB5D2,cluster1
KIAA0355,cluster1
LIMA1,cluster1
PPIC,cluster1
BPNT1,cluster1
FFAR4,cluster1
CORO6,cluster1
HOXB6,cluster1
TYSND1,cluster1
PNPLA2,cluster1
CORO2A,cluster1
DCAF5,cluster1
HOXB7,cluster1
MGLL,cluster1
AAMDC,cluster1
TNNI2,cluster1
TRIP6,cluster1
KXD1,cluster1
FAM110A,cluster1
SH3GLB2,cluster1
TSPAN15,cluster1
GNA11,cluster1
AKR1B1,cluster1
AVPI1,cluster1
RHBDD2,cluster1
TK2,cluster1
TXNRD2,cluster1
MT1F,cluster1
ATP6AP1L,cluster1
UBXN11,cluster1
BOK,cluster1
YARS2,cluster1
SLC35E3,cluster1
SPATA6,cluster1
KAZN,cluster1
C20orf194,cluster1
PLEKHB1,cluster1
SDCCAG8,cluster1
SOBP,cluster1
ST6GALNAC2,cluster1
SPRY1,cluster1
CCDC115,cluster1
DHRS12,cluster1
WDR61,cluster1
GLOD4,cluster1
TAGLN,cluster1
C16orf86,cluster1
RGS9,cluster1
C10orf35,cluster1
TMEM91,cluster1
RAB34,cluster1
SNRPN,cluster1
B3GALT4,cluster1
ALDH7A1,cluster1
OPTN,cluster1
SLC39A13,cluster1
TMEM107,cluster1
GABRE,cluster1
CLDN7,cluster1
CSTA,cluster1
ZNF717,cluster1
SLC9A3R2,cluster1
MLLT4,cluster1
ENKD1,cluster1
ADAMTS6,cluster1
CYP2U1,cluster1
RAPGEF3,cluster1
NINJ2,cluster1
ATL1,cluster1
CHRM3,cluster1
ZBTB47,cluster1
C20orf202,cluster1
FILIP1L,cluster1
AKR1C2,cluster1
CHST3,cluster1
MOK,cluster1
ZNF599,cluster1
AKR1C3,cluster1
PRCD,cluster1
AZU1,cluster1
CMBL,cluster1
AR,cluster1
DRD5,cluster1
ACSF2,cluster1
ZNF205,cluster1
TPD52L1,cluster1
MME,cluster1
THRA,cluster1
C8B,cluster1
MVB12B,cluster1
IGF1,cluster1
NHS,cluster1
ZNF334,cluster1
A4GNT,cluster1
CHI3L2,cluster1
CCDC13,cluster1
GRAMD1B,cluster1
C5,cluster1
ASGR1,cluster1
TUSC1,cluster1
MRPL45,cluster1
MOGAT1,cluster1
ECSCR,cluster1
SOWAHD,cluster1
ECHDC2,cluster1
DNAJC4,cluster1
KPTN,cluster1
NENF,cluster1
PTPMT1,cluster1
CD5L,cluster1
C1orf123,cluster1
PFDN1,cluster1
AFMID,cluster1
TNNI1,cluster1
VMO1,cluster1
TST,cluster1
ACYP2,cluster1
ERLEC1,cluster1
UBE2E2,cluster1
AK1,cluster1
IL1B,cluster1
IL1A,cluster1
TMEM245,cluster1
N4BP2L1,cluster1
TMEM52B,cluster1
ANKRD26,cluster1
GIMAP2,cluster1
KYNU,cluster1
ERCC4,cluster1
TNF,cluster1
FPR2,cluster1
HSD17B8,cluster1
CYB5A,cluster1
C3orf62,cluster1
RBFA,cluster1
RTP4,cluster1
ZFYVE21,cluster1
IFT43,cluster1
BST1,cluster1
PEX7,cluster1
CRYL1,cluster1
CD300C,cluster1
PDE6G,cluster1
ABHD14A,cluster1
CEBPA,cluster1
MACROD1,cluster1
FOLR1,cluster1
ADORA1,cluster1
LMNTD2,cluster1
TEX14,cluster1
CFAP36,cluster1
ACOT2,cluster1
SPRYD4,cluster1
HIC2,cluster1
QPRT,cluster1
LYAR,cluster1
BST2,cluster1
MIIP,cluster1
MSRB2,cluster1
HAGH,cluster1
COQ4,cluster1
AP5S1,cluster1
CSNK1E,cluster1
ARL11,cluster1
LTBR,cluster1
SECTM1,cluster1
ZNF32,cluster1
UBE2R2,cluster1
CXCL10,cluster1
CCDC40,cluster1
MAPRE3,cluster1
NEIL1,cluster1
PAQR5,cluster1
RXFP2,cluster1
RILPL1,cluster1
RFX2,cluster1
PER1,cluster1
NLE1,cluster1
ATF3,cluster1
FTCDNL1,cluster1
SMAD1,cluster1
APBB2,cluster1
CD72,cluster1
PRSS21,cluster1
LILRB1,cluster1
SUV420H2,cluster1
CASP5,cluster1
DOK1,cluster1
ARSD,cluster1
DNAL4,cluster1
PRDX4,cluster1
CRTAM,cluster1
CHST14,cluster1
MICALL1,cluster1
NEO1,cluster1
FCRL1,cluster1
MAST4,cluster1
TMEM51,cluster1
METTL8,cluster1
ZNF860,cluster1
MOCS1,cluster1
SYNGR1,cluster1
PAK4,cluster1
YPEL4,cluster1
PEBP4,cluster1
VSIG10L,cluster1
