geneName,module,gene_biotype,hgnc_symbol,module.char,mod.color
ENSG00000153253,0,protein_coding,SCN3A,00,grey
ENSG00000153317,6,protein_coding,ASAP1,06,red
ENSG00000153563,0,protein_coding,CD8A,00,grey
ENSG00000153802,0,protein_coding,TMPRSS11D,00,grey
ENSG00000153914,1,protein_coding,SREK1,01,turquoise
ENSG00000154080,5,protein_coding,CHST9,05,green
ENSG00000154102,0,protein_coding,C16orf74,00,grey
ENSG00000154153,3,protein_coding,FAM134B,03,brown
ENSG00000154162,0,protein_coding,CDH12,00,grey
ENSG00000154175,3,protein_coding,ABI3BP,03,brown
ENSG00000154188,0,protein_coding,ANGPT1,00,grey
ENSG00000154252,3,protein_coding,GAL3ST2,03,brown
ENSG00000154277,3,protein_coding,UCHL1,03,brown
ENSG00000154319,0,protein_coding,FAM167A,00,grey
ENSG00000154380,5,protein_coding,ENAH,05,green
ENSG00000154479,5,protein_coding,CCDC173,05,green
ENSG00000154589,4,protein_coding,LY96,04,yellow
ENSG00000154640,10,protein_coding,BTG3,10,purple
ENSG00000154655,1,protein_coding,L3MBTL4,01,turquoise
ENSG00000154734,6,protein_coding,ADAMTS1,06,red
ENSG00000155085,5,protein_coding,AK9,05,green
ENSG00000155087,5,protein_coding,ODF1,05,green
ENSG00000155265,9,protein_coding,GOLGA7B,09,magenta
ENSG00000155324,0,protein_coding,GRAMD3,00,grey
ENSG00000155366,8,protein_coding,RHOC,08,pink
ENSG00000155380,2,protein_coding,SLC16A1,02,blue
ENSG00000155545,0,protein_coding,MIER3,00,grey
ENSG00000155629,4,protein_coding,PIK3AP1,04,yellow
ENSG00000155660,2,protein_coding,PDIA4,02,blue
ENSG00000155744,3,protein_coding,FAM126B,03,brown
ENSG00000155749,1,protein_coding,ALS2CR12,01,turquoise
ENSG00000155761,5,protein_coding,SPAG17,05,green
ENSG00000155849,4,protein_coding,ELMO1,04,yellow
ENSG00000155858,0,protein_coding,LSM11,00,grey
ENSG00000155875,0,protein_coding,SAXO1,00,grey
ENSG00000155980,0,protein_coding,KIF5A,00,grey
ENSG00000156026,2,protein_coding,MCU,02,blue
ENSG00000156042,1,protein_coding,CFAP70,01,turquoise
ENSG00000156049,0,protein_coding,GNA14,00,grey
ENSG00000156052,2,protein_coding,GNAQ,02,blue
ENSG00000156103,0,protein_coding,MMP16,00,grey
ENSG00000156299,4,protein_coding,TIAM1,04,yellow
ENSG00000156508,5,protein_coding,EEF1A1,05,green
ENSG00000156515,0,protein_coding,HK1,00,grey
ENSG00000156535,2,protein_coding,CD109,02,blue
ENSG00000156697,2,protein_coding,UTP14A,02,blue
ENSG00000156970,9,protein_coding,BUB1B,09,magenta
ENSG00000157020,10,protein_coding,SEC13,10,purple
ENSG00000157064,1,protein_coding,NMNAT2,01,turquoise
ENSG00000157106,0,protein_coding,SMG1,00,grey
ENSG00000157168,0,protein_coding,NRG1,00,grey
ENSG00000157423,1,protein_coding,HYDIN,01,turquoise
ENSG00000157456,9,protein_coding,CCNB2,09,magenta
ENSG00000157502,8,protein_coding,MUM1L1,08,pink
ENSG00000157514,3,protein_coding,TSC22D3,03,brown
ENSG00000157542,0,protein_coding,KCNJ6,00,grey
ENSG00000157613,7,protein_coding,CREB3L1,07,black
ENSG00000157703,5,protein_coding,SVOPL,05,green
ENSG00000157837,3,protein_coding,SPPL3,03,brown
ENSG00000157890,0,protein_coding,MEGF11,00,grey
ENSG00000158050,0,protein_coding,DUSP2,00,grey
ENSG00000158169,9,protein_coding,FANCC,09,magenta
ENSG00000158220,0,protein_coding,ESYT3,00,grey
ENSG00000158428,1,protein_coding,CATIP,01,turquoise
ENSG00000158473,11,protein_coding,CD1D,11,greenyellow
ENSG00000158477,11,protein_coding,CD1A,11,greenyellow
ENSG00000158485,11,protein_coding,CD1B,11,greenyellow
ENSG00000158517,4,protein_coding,NCF1,04,yellow
ENSG00000158528,1,protein_coding,PPP1R9A,01,turquoise
ENSG00000158552,1,protein_coding,ZFAND2B,01,turquoise
ENSG00000158578,10,protein_coding,ALAS2,10,purple
ENSG00000158710,10,protein_coding,TAGLN2,10,purple
ENSG00000158773,0,protein_coding,USF1,00,grey
ENSG00000158806,1,protein_coding,NPM2,01,turquoise
ENSG00000158815,0,protein_coding,FGF17,00,grey
ENSG00000158816,1,protein_coding,VWA5B1,01,turquoise
ENSG00000158966,3,protein_coding,CACHD1,03,brown
ENSG00000159063,2,protein_coding,ALG8,02,blue
ENSG00000159069,7,protein_coding,FBXW5,07,black
ENSG00000159131,2,protein_coding,GART,02,blue
ENSG00000159166,7,protein_coding,LAD1,07,black
ENSG00000159208,3,protein_coding,CIART,03,brown
ENSG00000159363,7,protein_coding,ATP13A2,07,black
ENSG00000159387,3,protein_coding,IRX6,03,brown
ENSG00000159388,3,protein_coding,BTG2,03,brown
ENSG00000159399,8,protein_coding,HK2,08,pink
ENSG00000159479,11,protein_coding,MED8,11,greenyellow
ENSG00000159588,1,protein_coding,CCDC17,01,turquoise
ENSG00000159650,1,protein_coding,UROC1,01,turquoise
ENSG00000159720,4,protein_coding,ATP6V0D1,04,yellow
ENSG00000159761,0,protein_coding,C16orf86,00,grey
ENSG00000159840,4,protein_coding,ZYX,04,yellow
ENSG00000159921,2,protein_coding,GNE,02,blue
ENSG00000160014,2,protein_coding,CALM3,02,blue
ENSG00000160094,3,protein_coding,ZNF362,03,brown
ENSG00000160111,0,protein_coding,CPAMD8,00,grey
ENSG00000160181,7,protein_coding,TFF2,07,black
ENSG00000160183,1,protein_coding,TMPRSS3,01,turquoise
ENSG00000160193,6,protein_coding,WDR4,06,red
ENSG00000160209,6,protein_coding,PDXK,06,red
ENSG00000160219,6,protein_coding,GAB3,06,red
ENSG00000160255,4,protein_coding,ITGB2,04,yellow
ENSG00000160401,1,protein_coding,C9orf117,01,turquoise
ENSG00000160446,7,protein_coding,ZDHHC12,07,black
ENSG00000160593,4,protein_coding,AMICA1,04,yellow
ENSG00000160691,6,protein_coding,SHC1,06,red
ENSG00000160712,3,protein_coding,IL6R,03,brown
ENSG00000160716,5,protein_coding,CHRNB2,05,green
ENSG00000160753,7,protein_coding,RUSC1,07,black
ENSG00000160877,7,protein_coding,NACC1,07,black
ENSG00000160888,0,protein_coding,IER2,00,grey
ENSG00000160908,1,protein_coding,ZNF394,01,turquoise
ENSG00000160949,2,protein_coding,TONSL,02,blue
ENSG00000160961,3,protein_coding,ZNF333,03,brown
ENSG00000161010,1,protein_coding,C5orf45,01,turquoise
ENSG00000161055,5,protein_coding,SCGB3A1,05,green
ENSG00000161091,7,protein_coding,MFSD12,07,black
ENSG00000161203,11,protein_coding,AP2M1,11,greenyellow
ENSG00000161281,5,protein_coding,COX7A1,05,green
ENSG00000161513,2,protein_coding,FDXR,02,blue
ENSG00000161638,4,protein_coding,ITGA5,04,yellow
ENSG00000161798,9,protein_coding,AQP5,09,magenta
ENSG00000161800,9,protein_coding,RACGAP1,09,magenta
ENSG00000161888,9,protein_coding,SPC24,09,magenta
ENSG00000161896,0,protein_coding,IP6K3,00,grey
ENSG00000161921,4,protein_coding,CXCL16,04,yellow
ENSG00000161955,4,protein_coding,TNFSF13,04,yellow
ENSG00000162063,6,protein_coding,CCNF,06,red
ENSG00000162073,7,protein_coding,PAQR4,07,black
ENSG00000162129,2,protein_coding,CLPB,02,blue
ENSG00000162174,2,protein_coding,ASRGL1,02,blue
ENSG00000162302,6,protein_coding,RPS6KA4,06,red
ENSG00000162398,0,protein_coding,C1orf177,00,grey
ENSG00000162408,2,protein_coding,NOL9,02,blue
ENSG00000162511,4,protein_coding,LAPTM5,04,yellow
ENSG00000162522,1,protein_coding,KIAA1522,01,turquoise
ENSG00000162551,7,protein_coding,ALPL,07,black
ENSG00000162552,3,protein_coding,WNT4,03,brown
ENSG00000162572,0,protein_coding,SCNN1D,00,grey
ENSG00000162595,0,protein_coding,DIRAS3,00,grey
ENSG00000162599,5,protein_coding,NFIA,05,green
ENSG00000162620,1,protein_coding,LRRIQ3,01,turquoise
ENSG00000162692,0,protein_coding,VCAM1,00,grey
ENSG00000162694,1,protein_coding,EXTL2,01,turquoise
ENSG00000162695,0,protein_coding,SLC30A7,00,grey
ENSG00000162704,4,protein_coding,ARPC5,04,yellow
ENSG00000162734,6,protein_coding,PEA15,06,red
ENSG00000162736,6,protein_coding,NCSTN,06,red
ENSG00000162757,5,protein_coding,C1orf74,05,green
ENSG00000162779,1,protein_coding,AXDND1,01,turquoise
ENSG00000162817,1,protein_coding,C1orf115,01,turquoise
ENSG00000162873,0,protein_coding,KLHDC8A,00,grey
ENSG00000162877,0,protein_coding,PM20D1,00,grey
ENSG00000163069,5,protein_coding,SGCB,05,green
ENSG00000163121,1,protein_coding,NEURL3,01,turquoise
ENSG00000163171,3,protein_coding,CDC42EP3,03,brown
ENSG00000163209,9,protein_coding,SPRR3,09,magenta
ENSG00000163273,0,protein_coding,NPPC,00,grey
ENSG00000163312,0,protein_coding,HELQ,00,grey
ENSG00000163435,0,protein_coding,ELF3,00,grey
ENSG00000163468,2,protein_coding,CCT3,02,blue
ENSG00000163472,7,protein_coding,TMEM79,07,black
ENSG00000163479,10,protein_coding,SSR2,10,purple
ENSG00000163491,5,protein_coding,NEK10,05,green
ENSG00000163563,4,protein_coding,MNDA,04,yellow
ENSG00000163602,1,protein_coding,RYBP,01,turquoise
ENSG00000163655,2,protein_coding,GMPS,02,blue
ENSG00000163697,3,protein_coding,APBB2,03,brown
ENSG00000163714,5,protein_coding,U2SURP,05,green
ENSG00000163739,5,protein_coding,CXCL1,05,green
ENSG00000163806,5,protein_coding,SPDYA,05,green
ENSG00000163808,2,protein_coding,KIF15,02,blue
ENSG00000163812,2,protein_coding,ZDHHC3,02,blue
ENSG00000163820,6,protein_coding,FYCO1,06,red
ENSG00000163874,0,protein_coding,ZC3H12A,00,grey
ENSG00000163909,0,protein_coding,HEYL,00,grey
ENSG00000163931,7,protein_coding,TKT,07,black
ENSG00000163935,0,protein_coding,SFMBT1,00,grey
ENSG00000163939,1,protein_coding,PBRM1,01,turquoise
ENSG00000163993,10,protein_coding,S100P,10,purple
ENSG00000164008,1,protein_coding,C1orf50,01,turquoise
ENSG00000164022,5,protein_coding,AIMP1,05,green
ENSG00000164032,10,protein_coding,H2AFZ,10,purple
ENSG00000164062,2,protein_coding,APEH,02,blue
ENSG00000164066,1,protein_coding,INTU,01,turquoise
ENSG00000164087,2,protein_coding,POC1A,02,blue
ENSG00000164099,3,protein_coding,PRSS12,03,brown
ENSG00000164109,10,protein_coding,MAD2L1,10,purple
ENSG00000164136,0,protein_coding,IL15,00,grey
ENSG00000164171,3,protein_coding,ITGA2,03,brown
ENSG00000164237,3,protein_coding,CMBL,03,brown
ENSG00000164244,2,protein_coding,PRRC1,02,blue
ENSG00000164270,0,protein_coding,HTR4,00,grey
ENSG00000164287,9,protein_coding,CDC20B,09,magenta
ENSG00000164305,2,protein_coding,CASP3,02,blue
ENSG00000164327,1,protein_coding,RICTOR,01,turquoise
ENSG00000164331,0,protein_coding,ANKRA2,00,grey
ENSG00000164379,1,protein_coding,FOXQ1,01,turquoise
ENSG00000164404,3,protein_coding,GDF9,03,brown
ENSG00000164418,5,protein_coding,GRIK2,05,green
ENSG00000164440,0,protein_coding,TXLNB,00,grey
ENSG00000164609,5,protein_coding,SLU7,05,green
ENSG00000164611,9,protein_coding,PTTG1,09,magenta
ENSG00000164638,7,protein_coding,SLC29A4,07,black
ENSG00000164674,1,protein_coding,SYTL3,01,turquoise
ENSG00000164713,1,protein_coding,BRI3,01,turquoise
ENSG00000164743,9,protein_coding,C8orf48,09,magenta
ENSG00000164754,0,protein_coding,RAD21,00,grey
ENSG00000164815,5,protein_coding,ORC5,05,green
ENSG00000164830,3,protein_coding,OXR1,03,brown
ENSG00000164879,3,protein_coding,CA3,03,brown
ENSG00000164889,6,protein_coding,SLC4A2,06,red
ENSG00000165006,2,protein_coding,UBAP1,02,blue
ENSG00000165025,4,protein_coding,SYK,04,yellow
ENSG00000165071,8,protein_coding,TMEM71,08,pink
ENSG00000165113,0,protein_coding,GKAP1,00,grey
